chr,coordinate,strand,IPDRatio,frac,fracLow,fracUp
chr2L,639776,+,2.07,1,1,1
chr2L,647133,-,2.67,0.997,0.98,1
chr2L,666950,+,4.51,1,0.782,1
chr2L,672267,-,3.29,0.999,0.829,1
chr2L,672779,-,5.4,1,0.946,1
chr2L,676542,-,2.64,0.968,0.716,1
chr2L,686130,+,4.22,1,0.799,1
chr2L,706223,-,2.01,0.61,0.472,0.766
chr2L,787703,+,3.02,0.993,0.732,1
chr2L,789404,-,2.71,1,1,1
chr2L,822727,-,3.3,1,0.704,1
chr2L,845227,+,3.15,1,0.805,1
chr2L,848410,-,2.76,0.995,0.974,1
chr2L,852274,+,2.57,1,0.74,1
chr2L,866236,+,2.18,0.975,0.967,0.995
chr2L,876638,+,2.83,1,0.776,1
chr2L,892843,-,7.46,0.267,0.141,0.411
chr2L,915702,+,3.07,0.991,0.728,1
chr2L,933770,+,2.85,0.998,0.706,1
chr2L,934512,+,3.28,1,0.727,1
chr2L,944416,+,4.04,1,1,1
chr2L,951243,-,3.37,0.978,0.71,1
chr2L,955976,+,3.47,1,0.802,1
chr2L,961560,-,4.39,1,0.718,1
chr2L,973052,-,2.52,1,0.743,1
chr2L,993638,-,1.67,0.617,0.484,0.732
chr2L,996862,+,3.09,1,0.813,1
chr2L,1010513,-,4.45,1,0.909,1
chr2L,1026153,-,2.25,1,0.852,1
chr2L,1035986,-,2.95,1,0.736,1
chr2L,1049353,-,2.71,0.998,0.705,1
chr2L,1051035,-,2.47,1,1,1
chr2L,1057713,+,1.77,0.806,0.684,0.889
chr2L,1059367,+,1.96,0.622,0.456,0.735
chr2L,1062290,+,2.97,0.991,0.988,1
chr2L,1074138,+,5.84,1,1,1
chr2L,1086203,+,3.95,1,0.925,1
chr2L,1086277,-,1.94,0.822,0.629,0.86
chr2L,1115838,+,2.55,1,0.897,1
chr2L,1124990,+,3.72,0.996,0.994,1
chr2L,1125037,-,3.05,1,0.843,1
chr2L,1134496,-,2.65,1,0.843,1
chr2L,1144470,+,2.81,0.974,0.715,0.999
chr2L,1164903,-,3.03,0.996,0.995,1
chr2L,1175205,-,2.73,1,0.814,1
chr2L,1175755,-,2.61,0.978,0.967,0.997
chr2L,1178776,+,2.62,1,0.777,1
chr2L,1187266,-,5.36,1,1,1
chr2L,1192753,-,3.76,1,1,1
chr2L,1195585,+,3.54,1,0.753,1
chr2L,1204330,+,2.82,1,0.994,1
chr2L,1208022,+,3.66,1,0.705,1
chr2L,1221735,+,3.14,0.997,0.723,1
chr2L,1239203,-,2.7,0.992,0.987,1
chr2L,1247896,-,3.02,0.993,0.766,1
chr2L,1255313,+,1.81,0.698,0.615,0.782
chr2L,1270135,+,3.37,0.996,0.927,1
chr2L,1273346,-,3.62,1,0.868,1
chr2L,1292064,-,1.97,0.535,0.398,0.684
chr2L,1304073,-,1.85,0.618,0.531,0.699
chr2L,1312436,+,3.31,0.985,0.771,1
chr2L,1319209,-,2.95,1,0.704,1
chr2L,1322507,+,1.81,0.716,0.644,0.778
chr2L,1328373,-,1.67,0.834,0.79,0.888
chr2L,1332580,+,6.27,0.999,0.963,1
chr2L,1335208,+,2.68,1,0.796,1
chr2L,1336527,-,2.87,1,0.994,1
chr2L,1340921,+,1.77,0.836,0.771,0.896
chr2L,1357769,+,4.15,0.994,0.993,0.995
chr2L,1358865,+,3.62,0.981,0.711,1
chr2L,1362973,+,2.52,1,0.735,1
chr2L,1364683,+,2.46,0.996,0.804,1
chr2L,1395363,+,3.14,1,1,1
chr2L,1396447,-,4.67,0.996,0.911,1
chr2L,1396502,+,2.61,0.997,0.755,0.998
chr2L,1440442,-,5.04,1,1,1
chr2L,1447416,-,4.19,0.961,0.737,1
chr2L,1460366,-,3.05,1,0.762,1
chr2L,1478462,-,3.42,1,1,1
chr2L,1481610,-,2.74,1,0.742,1
chr2L,1498367,-,1.6,0.737,0.638,0.821
chr2L,1507502,-,4.5,1,0.864,1
chr2L,1509794,-,2.64,0.991,0.965,1
chr2L,1542995,-,3.78,1,0.736,1
chr2L,1560672,+,7.3,0.918,0.721,1
chr2L,1560856,-,3.06,0.996,0.925,1
chr2L,1577902,+,3.95,0.983,0.707,1
chr2L,1593754,+,2.67,0.986,0.747,1
chr2L,1594457,-,3.13,1,0.765,1
chr2L,1612691,-,2.06,0.985,0.777,1
chr2L,1615124,+,4.51,1,0.751,1
chr2L,1615522,+,3.66,0.99,0.719,1
chr2L,1619568,-,4.84,0.975,0.921,1
chr2L,1620448,-,2.82,0.989,0.863,1
chr2L,1621760,-,2.3,1,1,1
chr2L,1634495,-,2.35,1,0.756,1
chr2L,1641953,+,2.85,0.98,0.869,1
chr2L,1647535,+,1.45,0.045,0,0.259
chr2L,1651722,+,3.52,1,1,1
chr2L,1662396,+,3.42,1,0.922,1
chr2L,1664081,-,4.91,1,1,1
chr2L,1668580,+,1.48,0.177,0.087,0.348
chr2L,1671298,-,3.6,1,0.9,1
chr2L,1682628,+,2.13,0.623,0.507,0.757
chr2L,1708463,-,2.89,1,0.785,1
chr2L,1721246,-,6.51,1,0.867,1
chr2L,1727760,+,2.53,0.994,0.992,1
chr2L,1731504,-,4.15,0.998,0.975,1
chr2L,1747474,-,2.93,1,0.764,1
chr2L,1752106,-,4.39,0.999,0.759,1
chr2L,1776624,+,4.43,0.98,0.877,1
chr2L,1800639,-,3.01,1,0.74,1
chr2L,1800944,-,1.91,0.461,0.332,0.623
chr2L,1810894,+,2.12,0.604,0.489,0.696
chr2L,1812108,-,3.19,1,0.773,1
chr2L,1834907,+,2.73,1,0.861,1
chr2L,1847156,+,2.35,1,1,1
chr2L,1848869,-,2.73,0.991,0.922,1
chr2L,1850209,+,5.09,1,1,1
chr2L,1872455,+,2.5,1,0.722,1
chr2L,1885791,+,4.03,1,0.859,1
chr2L,1909182,+,3.45,0.99,0.709,0.998
chr2L,1916934,-,4.13,1,1,1
chr2L,1918077,-,1.73,0.439,0.345,0.554
chr2L,1919341,+,3.99,1,1,1
chr2L,1930735,-,5.35,0.991,0.986,1
chr2L,1955755,-,2.07,0.315,0.178,0.465
chr2L,1993608,-,2.1,1,0.925,1
chr2L,2033915,-,3.23,1,0.976,1
chr2L,2049504,-,2.2,0.327,0.165,0.455
chr2L,2053639,-,2.71,0.898,0.744,1
chr2L,2061721,+,2.79,1,0.873,1
chr2L,2081511,-,3.72,0.993,0.75,0.996
chr2L,2090882,-,1.76,0.525,0.367,0.661
chr2L,2130176,+,3.59,1,0.77,1
chr2L,2138858,-,3.51,1,0.95,1
chr2L,2142077,-,2.85,1,0.738,1
chr2L,2145391,-,4.67,1,0.834,1
chr2L,2148990,-,3.68,1,0.881,1
chr2L,2170827,+,3.61,0.985,0.718,1
chr2L,2173636,-,4.78,0.999,0.849,1
chr2L,2178970,+,2.75,1,0.818,1
chr2L,2192492,-,3.07,1,0.712,1
chr2L,2215659,-,3.06,1,0.859,1
chr2L,2228340,-,2.66,0.982,0.957,1
chr2L,2252517,+,1.53,0.633,0.592,0.76
chr2L,2300335,-,1.89,0.606,0.504,0.738
chr2L,2310886,+,1.73,0.735,0.679,0.802
chr2L,2315278,+,1.64,0.298,0.165,0.442
chr2L,2316162,+,4.76,1,0.836,1
chr2L,2335177,+,1.57,0.826,0.801,0.863
chr2L,2345235,+,3.4,1,0.923,1
chr2L,2347423,+,1.9,0.706,0.597,0.805
chr2L,2372928,+,2.54,0.976,0.916,0.986
chr2L,2379490,+,3.85,1,0.964,1
chr2L,2389145,+,2.14,0.529,0.394,0.674
chr2L,2411609,+,3.19,0.946,0.746,1
chr2L,2412606,-,2.23,1,0.712,1
chr2L,2414660,+,4.71,0.995,0.81,0.999
chr2L,2426891,+,6.58,1,1,1
chr2L,2443319,+,3.67,0.989,0.753,0.994
chr2L,2443488,-,3.11,1,0.894,1
chr2L,2445044,-,2.26,0.992,0.844,0.994
chr2L,2451438,+,3.24,1,0.741,1
chr2L,2461386,-,4.34,1,0.993,1
chr2L,2464887,+,3.22,1,1,1
chr2L,2467567,+,2.35,0.656,0.531,0.782
chr2L,2482088,-,3.22,0.974,0.734,1
chr2L,2502005,+,2.27,1,1,1
chr2L,2504969,-,2.82,1,0.824,1
chr2L,2511300,-,3.28,0.981,0.907,1
chr2L,2519326,-,2.57,0.95,0.709,1
chr2L,2519337,-,1.57,0.751,0.562,0.794
chr2L,2552845,+,3.39,1,0.789,1
chr2L,2563015,+,3.46,1,0.826,1
chr2L,2566952,+,2.91,0.968,0.708,1
chr2L,2571782,+,2.76,1,0.776,1
chr2L,2576335,+,3.14,1,1,1
chr2L,2602861,-,1.88,0.212,0.052,0.346
chr2L,2605544,+,2.92,1,0.894,1
chr2L,2611221,-,3.87,1,1,1
chr2L,2628493,+,2.62,0.998,0.837,0.999
chr2L,2631200,+,4.33,0.941,0.769,1
chr2L,2673113,+,2.89,1,0.873,1
chr2L,2688442,+,3.83,1,0.765,1
chr2L,2699185,+,3.31,1,0.754,1
chr2L,2705483,-,4.2,1,0.832,1
chr2L,2716692,-,4.54,1,0.86,1
chr2L,2738951,-,3.46,1,0.802,1
chr2L,2746449,+,1.75,0.548,0.535,0.598
chr2L,2752936,-,2.98,1,0.762,1
chr2L,2767700,-,2.47,0.936,0.863,1
chr2L,2774014,+,3.2,1,0.706,1
chr2L,2776159,-,3.3,0.911,0.712,1
chr2L,2790887,-,6.15,0.996,0.918,0.998
chr2L,2802375,+,4.55,1,1,1
chr2L,2812708,+,3.2,0.994,0.786,0.997
chr2L,2824575,+,2.76,1,1,1
chr2L,2866618,+,3.79,0.997,0.804,1
chr2L,2872045,+,2.3,1,0.73,1
chr2L,2886833,+,4.99,1,1,1
chr2L,2891799,+,1.9,1,0.771,1
chr2L,2892207,-,1.81,0.814,0.778,0.863
chr2L,2893761,+,1.88,0.836,0.729,0.897
chr2L,2902620,+,2.87,1,0.83,1
chr2L,2904893,-,2.98,1,0.711,1
chr2L,2914285,+,2.19,1,1,1
chr2L,2917265,+,4.44,1,0.767,1
chr2L,2933595,-,3.92,0.986,0.706,1
chr2L,2939341,+,3.48,0.982,0.701,1
chr2L,2967617,-,2.87,1,1,1
chr2L,2968278,+,2.68,1,0.846,1
chr2L,2977352,+,2.21,1,0.757,1
chr2L,3036453,-,4.13,0.985,0.895,1
chr2L,3052641,-,4.35,0.968,0.704,1
chr2L,3060714,+,2.81,1,0.818,1
chr2L,3085876,+,2.32,1,1,1
chr2L,3088247,-,3.94,1,0.755,1
chr2L,3090596,-,2.17,1,1,1
chr2L,3096153,+,3.17,0.998,0.725,1
chr2L,3109049,+,1.6,0.771,0.703,0.865
chr2L,3126871,-,2.78,1,1,1
chr2L,3129323,+,4.95,0.996,0.854,0.999
chr2L,3143037,-,2.41,1,0.717,1
chr2L,3156849,+,1.95,0.735,0.632,0.821
chr2L,3180893,-,3.02,1,0.847,1
chr2L,3198639,+,4.12,0.997,0.99,1
chr2L,3220822,-,3.61,1,0.794,1
chr2L,3225941,-,4.39,1,0.846,1
chr2L,3228252,-,2.14,0.987,0.963,1
chr2L,3260486,-,2.59,1,1,1
chr2L,3275642,+,4.41,0.97,0.714,1
chr2L,3278470,+,2.38,1,0.896,1
chr2L,3304107,-,3.49,0.99,0.854,0.999
chr2L,3312556,+,4.09,0.994,0.992,0.999
chr2L,3314353,+,1.71,0.736,0.503,0.797
chr2L,3343671,-,3.89,0.985,0.766,0.998
chr2L,3344066,+,4.81,1,0.732,1
chr2L,3344678,+,3.66,0.999,0.999,1
chr2L,3367785,-,3.85,1,0.732,1
chr2L,3396625,-,3.97,1,0.894,1
chr2L,3401957,+,3.26,0.972,0.737,1
chr2L,3406584,+,2.01,0.603,0.438,0.713
chr2L,3443419,+,2.83,0.998,0.983,1
chr2L,3444410,+,4.2,1,0.819,1
chr2L,3448066,+,2.25,1,1,1
chr2L,3449886,+,2.75,0.994,0.72,1
chr2L,3465777,-,2.08,1,0.868,1
chr2L,3489775,+,3.86,1,0.87,1
chr2L,3537554,-,3.3,0.998,0.731,1
chr2L,3540456,+,3.3,0.984,0.716,1
chr2L,3578571,+,1.61,0.584,0.449,0.708
chr2L,3655949,-,3.09,1,0.788,1
chr2L,3670215,+,3.03,1,0.886,1
chr2L,3678611,-,2.73,1,1,1
chr2L,3690907,-,6.45,1,0.844,1
chr2L,3704450,-,1.77,0.588,0.439,0.726
chr2L,3720934,+,2.52,0.993,0.76,1
chr2L,3722640,-,2.58,1,0.824,1
chr2L,3726443,-,2.7,1,1,1
chr2L,3745808,-,3.06,1,0.73,1
chr2L,3757765,+,2.6,1,0.774,1
chr2L,3759491,+,3.23,1,0.75,1
chr2L,3760171,-,2.91,1,1,1
chr2L,3774224,-,7.06,0.996,0.9,1
chr2L,3776758,+,5.95,1,1,1
chr2L,3813688,-,2.78,1,0.807,1
chr2L,3840101,+,3.58,1,0.774,1
chr2L,3856643,+,2.79,1,0.841,1
chr2L,3863750,+,1.7,0.647,0.476,0.744
chr2L,3866745,+,2.25,0.256,0.109,0.408
chr2L,3873178,+,4.3,1,0.848,1
chr2L,3883719,+,4.12,1,0.76,1
chr2L,3885375,-,2.36,0.966,0.749,1
chr2L,3896088,-,3.45,0.986,0.826,1
chr2L,3908606,+,2.72,0.792,0.654,0.919
chr2L,3917280,-,3.03,1,1,1
chr2L,3929494,-,2.71,1,0.741,1
chr2L,3952940,+,5.35,0.981,0.931,1
chr2L,3955676,-,1.66,0.813,0.762,0.863
chr2L,3960405,+,3.06,0.531,0.356,0.632
chr2L,3965627,-,2.39,0.572,0.423,0.718
chr2L,3976840,-,3.59,1,0.764,1
chr2L,3990746,+,3.6,1,0.738,1
chr2L,3998787,-,3.52,1,1,1
chr2L,4021102,+,3.54,1,0.78,1
chr2L,4043616,+,3.57,1,0.933,1
chr2L,4049022,-,2.81,1,0.794,1
chr2L,4049274,+,8.74,1,0.967,1
chr2L,4057716,-,2.05,0.277,0.14,0.402
chr2L,4057717,-,2.48,0.348,0.219,0.456
chr2L,4061517,-,2.46,1,0.802,1
chr2L,4066403,+,3.16,1,0.833,1
chr2L,4077969,+,2.7,1,0.726,1
chr2L,4090902,-,4.74,0.981,0.707,1
chr2L,4098252,+,2.68,0.996,0.994,0.999
chr2L,4110159,-,1.62,0.634,0.516,0.751
chr2L,4116257,-,2.92,1,0.782,1
chr2L,4142551,-,6.19,0.25,0.095,0.39
chr2L,4142711,-,4.15,1,0.868,1
chr2L,4143051,-,2.11,1,1,1
chr2L,4152593,-,3.71,1,0.808,1
chr2L,4158555,+,2.94,1,1,1
chr2L,4159643,-,2.72,1,0.93,1
chr2L,4162661,+,3.67,0.995,0.743,1
chr2L,4163642,+,3.59,0.984,0.974,0.996
chr2L,4163710,+,1.5,0.381,0.314,0.492
chr2L,4173473,-,2.49,1,0.74,1
chr2L,4190970,-,4.82,1,0.769,1
chr2L,4195164,+,1.69,0.919,0.693,0.93
chr2L,4219730,+,2.95,0.979,0.718,1
chr2L,4220462,+,3.21,1,0.857,1
chr2L,4222804,-,2.88,0.995,0.95,1
chr2L,4224521,+,2.92,1,0.744,1
chr2L,4254903,-,2.32,1,1,1
chr2L,4262113,+,2.93,0.981,0.717,1
chr2L,4277989,-,4.66,1,0.984,1
chr2L,4293771,+,2.03,0.394,0.206,0.473
chr2L,4295942,+,3.57,0.958,0.731,1
chr2L,4317743,-,5.09,1,0.827,1
chr2L,4338159,+,4.43,1,0.858,1
chr2L,4344878,+,2.32,1,1,1
chr2L,4360943,+,3.84,0.997,0.958,1
chr2L,4369521,+,3.7,1,0.934,1
chr2L,4404978,-,3.31,1,0.926,1
chr2L,4413211,-,1.65,0.531,0.421,0.627
chr2L,4413648,-,3.15,1,0.818,1
chr2L,4414013,-,2.49,0.992,0.727,1
chr2L,4419683,-,1.86,0.585,0.461,0.712
chr2L,4448196,+,1.74,0.612,0.462,0.728
chr2L,4470445,-,3.52,1,0.762,1
chr2L,4472389,+,3.57,1,0.918,1
chr2L,4486465,+,2.15,1,0.828,1
chr2L,4513953,+,4.26,1,0.742,1
chr2L,4526021,+,2.43,1,0.841,1
chr2L,4574834,-,2.52,1,0.81,1
chr2L,4583202,-,3.79,1,0.766,1
chr2L,4592800,+,2.41,0.995,0.752,0.999
chr2L,4595501,+,4.17,1,0.784,1
chr2L,4600485,-,3.37,0.995,0.992,1
chr2L,4603092,-,2.2,0.747,0.621,0.863
chr2L,4605577,-,4.57,0.979,0.786,1
chr2L,4613897,-,3.82,1,0.871,1
chr2L,4623243,-,3.16,0.928,0.708,1
chr2L,4639833,-,4.12,1,0.825,1
chr2L,4644306,-,3.19,1,1,1
chr2L,4644483,-,2.63,1,0.889,1
chr2L,4644576,-,3.37,1,1,1
chr2L,4644930,-,3.07,1,1,1
chr2L,4645107,-,3.49,1,1,1
chr2L,4645284,-,2.71,1,0.916,1
chr2L,4645461,-,3.39,1,1,1
chr2L,4645638,-,2.83,1,0.75,1
chr2L,4645992,-,3.63,0.985,0.72,1
chr2L,4658671,+,3.29,1,0.788,1
chr2L,4669992,-,2.15,0.619,0.502,0.776
chr2L,4672509,-,3.23,1,0.773,1
chr2L,4694225,+,2.85,1,0.727,1
chr2L,4695054,+,2.41,1,1,1
chr2L,4712444,-,3.61,0.99,0.821,1
chr2L,4715074,+,3.04,1,0.773,1
chr2L,4733204,+,2.33,1,0.865,1
chr2L,4734901,+,2.77,0.241,0.103,0.391
chr2L,4741092,+,4.17,1,1,1
chr2L,4786578,-,2.62,0.997,0.804,0.999
chr2L,4795728,-,2.69,0.997,0.975,1
chr2L,4818527,-,3.04,1,0.985,1
chr2L,4850206,-,2.78,0.46,0.331,0.607
chr2L,4888608,+,3.54,0.971,0.718,1
chr2L,4950274,+,3.25,1,0.749,1
chr2L,4955945,+,2.66,0.99,0.83,1
chr2L,4993661,-,4.37,1,1,1
chr2L,5012143,-,5.1,1,0.878,1
chr2L,5019583,-,4.82,1,0.856,1
chr2L,5020937,+,1.7,1,1,1
chr2L,5051282,-,2.9,1,1,1
chr2L,5063110,+,3.62,0.99,0.967,1
chr2L,5071284,-,3.45,0.962,0.896,0.992
chr2L,5072510,-,3.05,0.983,0.732,1
chr2L,5082694,-,1.49,0.015,0,0.236
chr2L,5088558,-,3.79,0.979,0.899,1
chr2L,5116544,-,2.85,1,0.804,1
chr2L,5147783,+,4.08,1,0.732,1
chr2L,5150487,+,3.04,1,0.739,1
chr2L,5158986,+,3.61,0.99,0.906,1
chr2L,5163291,+,3.79,1,0.791,1
chr2L,5172437,+,3.47,0.974,0.729,1
chr2L,5179135,+,2.75,0.996,0.835,1
chr2L,5179972,+,3.66,1,1,1
chr2L,5183731,+,3.39,1,0.734,1
chr2L,5208397,+,2.43,0.942,0.796,1
chr2L,5208923,+,3.44,1,0.704,1
chr2L,5223163,+,5.14,1,0.994,1
chr2L,5260276,+,3.21,0.986,0.742,1
chr2L,5260295,-,3.63,0.984,0.718,1
chr2L,5260428,-,2.99,0.997,0.74,1
chr2L,5284658,-,2.78,1,1,1
chr2L,5287373,-,4.89,1,1,1
chr2L,5323029,+,3.01,1,0.871,1
chr2L,5327211,-,2.62,0.948,0.742,1
chr2L,5360221,-,3.46,0.99,0.974,0.998
chr2L,5364762,-,3.26,1,0.752,1
chr2L,5367664,-,4.35,1,0.981,1
chr2L,5376640,+,3.52,1,0.907,1
chr2L,5381256,+,3.99,1,0.733,1
chr2L,5384797,+,3.35,1,0.773,1
chr2L,5389517,-,4.73,1,0.766,1
chr2L,5394800,-,2.98,1,0.826,1
chr2L,5397581,-,3.6,1,0.956,1
chr2L,5421931,+,3.58,0.994,0.752,0.999
chr2L,5439308,+,1.92,0.495,0.356,0.655
chr2L,5466569,-,2.94,0.354,0.209,0.502
chr2L,5482508,-,3.37,1,1,1
chr2L,5487307,-,3.39,1,1,1
chr2L,5520332,-,5.49,1,0.729,1
chr2L,5521711,+,2.87,1,0.805,1
chr2L,5537635,-,3.07,1,0.804,1
chr2L,5576729,+,3.57,1,0.861,1
chr2L,5618333,-,3.07,0.98,0.711,1
chr2L,5624460,+,4.06,1,0.956,1
chr2L,5650285,-,2.92,1,0.771,1
chr2L,5658303,+,5.51,1,1,1
chr2L,5668552,-,3.87,1,0.744,1
chr2L,5670978,-,4.06,0.984,0.724,1
chr2L,5671036,-,4.04,0.933,0.707,0.996
chr2L,5730689,+,2.57,1,1,1
chr2L,5738140,-,3.17,1,0.811,1
chr2L,5777486,-,2.42,0.991,0.988,1
chr2L,5784063,-,2.91,0.988,0.884,0.998
chr2L,5804184,+,4.15,1,0.936,1
chr2L,5813342,-,2.01,0.998,0.746,1
chr2L,5827763,-,3.83,1,0.747,1
chr2L,5842638,+,2.33,1,0.917,1
chr2L,5847083,-,3.85,1,0.883,1
chr2L,5874100,-,1.96,0.216,0.086,0.338
chr2L,5876709,+,4.83,1,0.866,1
chr2L,5881274,+,2.66,1,0.81,1
chr2L,5883135,-,1.85,0.647,0.564,0.742
chr2L,5883777,-,3.56,0.934,0.711,1
chr2L,5895524,+,4.04,1,0.94,1
chr2L,5901625,+,3.04,1,0.918,1
chr2L,5902931,-,3.45,1,0.74,1
chr2L,5931852,+,3.73,0.973,0.746,1
chr2L,5933766,+,3.5,0.973,0.957,0.988
chr2L,5933777,+,3.74,0.949,0.733,1
chr2L,5933784,+,2.36,0.6,0.459,0.734
chr2L,5978103,+,1.77,0.806,0.755,0.86
chr2L,5994955,+,2.87,1,0.771,1
chr2L,5998820,+,3.68,0.986,0.739,1
chr2L,6000219,-,1.46,0.041,0,0.26
chr2L,6010688,+,3.37,0.986,0.715,1
chr2L,6015243,-,1.89,0.475,0.35,0.62
chr2L,6020805,+,1.63,0.861,0.693,0.898
chr2L,6033246,-,4.48,1,0.713,1
chr2L,6084696,+,2.59,0.997,0.725,1
chr2L,6119277,+,1.95,0.966,0.751,1
chr2L,6121542,+,3.74,1,0.866,1
chr2L,6128068,-,2.88,0.986,0.818,0.992
chr2L,6139904,+,1.8,0.587,0.449,0.713
chr2L,6155423,-,3.9,0.993,0.983,1
chr2L,6187011,-,2.05,0.34,0.271,0.469
chr2L,6195606,-,3.22,1,0.771,1
chr2L,6201975,+,4.08,1,0.785,1
chr2L,6221964,-,4.58,0.995,0.817,1
chr2L,6244500,+,3.02,1,0.812,1
chr2L,6251932,+,3.39,1,0.878,1
chr2L,6259884,+,2.83,1,0.742,1
chr2L,6272546,-,2.6,1,0.75,1
chr2L,6277399,-,2.43,1,0.86,1
chr2L,6280316,+,3.9,1,0.921,1
chr2L,6315847,+,2.17,0.741,0.629,0.864
chr2L,6319298,-,2.27,1,0.808,1
chr2L,6320558,-,2.46,1,0.98,1
chr2L,6327575,+,1.97,0.993,0.991,0.997
chr2L,6349020,-,3.91,0.946,0.728,1
chr2L,6373110,-,3.73,0.992,0.801,0.996
chr2L,6373275,-,2.47,1,0.781,1
chr2L,6393948,-,5.09,1,0.93,1
chr2L,6435494,-,4.18,1,0.828,1
chr2L,6447302,-,3.08,1,0.984,1
chr2L,6481545,+,2.25,1,0.712,1
chr2L,6498868,+,2.83,1,0.788,1
chr2L,6506840,-,1.74,0.216,0.161,0.297
chr2L,6509126,+,3.16,1,0.849,1
chr2L,6509960,-,1.99,0.578,0.452,0.696
chr2L,6522031,+,2.92,1,0.854,1
chr2L,6529132,-,3.47,1,0.965,1
chr2L,6567674,-,2.95,0.989,0.773,1
chr2L,6572868,+,2.96,1,0.751,1
chr2L,6616928,+,2.14,0.986,0.791,1
chr2L,6636433,+,2.43,1,0.994,1
chr2L,6637201,+,3.73,0.988,0.844,1
chr2L,6651041,+,2.68,1,0.873,1
chr2L,6674186,+,2.7,1,1,1
chr2L,6678819,+,3.48,0.994,0.93,1
chr2L,6729894,-,2.44,0.987,0.757,0.993
chr2L,6795027,-,3.63,0.948,0.707,1
chr2L,6797582,-,2.86,1,1,1
chr2L,6805544,-,2.79,1,0.837,1
chr2L,6818166,-,3.49,0.999,0.998,1
chr2L,6825764,+,4.11,1,0.845,1
chr2L,6829970,-,2.46,1,1,1
chr2L,6833079,-,2.03,0.776,0.579,0.868
chr2L,6871357,-,2.09,0.845,0.784,0.935
chr2L,6879758,+,2.74,0.986,0.709,1
chr2L,6895824,+,2.98,0.987,0.748,1
chr2L,6896559,-,3.66,1,0.81,1
chr2L,6930040,+,3.43,1,0.759,1
chr2L,6943837,-,3.2,1,0.865,1
chr2L,6960848,+,4.04,1,0.993,1
chr2L,6978852,+,2.09,0.544,0.43,0.683
chr2L,7023241,+,4.86,0.991,0.931,0.996
chr2L,7035673,+,3.49,0.967,0.706,1
chr2L,7039631,-,5.75,1,0.858,1
chr2L,7052368,-,2.16,1,1,1
chr2L,7071737,+,2.55,1,1,1
chr2L,7075878,-,2.32,1,1,1
chr2L,7084239,-,3.72,0.542,0.439,0.67
chr2L,7085172,-,3.09,1,1,1
chr2L,7101881,+,5.94,1,1,1
chr2L,7101907,-,4.1,1,0.728,1
chr2L,7111472,-,5.52,0.987,0.966,1
chr2L,7122840,-,5.66,1,0.808,1
chr2L,7127644,-,3.16,1,0.738,1
chr2L,7141436,-,2.06,0.947,0.732,1
chr2L,7164535,+,3.71,1,0.882,1
chr2L,7165333,+,3.95,1,0.917,1
chr2L,7174827,-,5.5,0.999,0.869,1
chr2L,7181839,+,4.21,0.936,0.729,1
chr2L,7213320,-,3.12,1,1,1
chr2L,7234218,+,2.76,0.999,0.83,1
