"","chr","coordinate","strand"
"480","chr2L",5804184,"+"
"481","chr2L",5813342,"-"
"482","chr2L",5827763,"-"
"483","chr2L",5842638,"+"
"484","chr2L",5847083,"-"
"485","chr2L",5874100,"-"
"486","chr2L",5876709,"+"
"487","chr2L",5881274,"+"
"488","chr2L",5883135,"-"
"489","chr2L",5883777,"-"
"490","chr2L",5895524,"+"
"491","chr2L",5901625,"+"
"492","chr2L",5902931,"-"
"493","chr2L",5931852,"+"
"494","chr2L",5933766,"+"
"495","chr2L",5933777,"+"
"496","chr2L",5933784,"+"
"497","chr2L",5978103,"+"
"498","chr2L",5994955,"+"
"499","chr2L",5998820,"+"
"500","chr2L",6000219,"-"
"501","chr2L",6010688,"+"
"502","chr2L",6015243,"-"
"503","chr2L",6020805,"+"
"504","chr2L",6033246,"-"
"505","chr2L",6084696,"+"
"506","chr2L",6119277,"+"
"507","chr2L",6121542,"+"
"508","chr2L",6128068,"-"
"509","chr2L",6139904,"+"
"510","chr2L",6155423,"-"
"511","chr2L",6187011,"-"
"512","chr2L",6195606,"-"
"513","chr2L",6201975,"+"
"514","chr2L",6221964,"-"
"515","chr2L",6244500,"+"
"516","chr2L",6251932,"+"
"517","chr2L",6259884,"+"
"518","chr2L",6272546,"-"
"519","chr2L",6277399,"-"
"520","chr2L",6280316,"+"
"521","chr2L",6315847,"+"
"522","chr2L",6319298,"-"
"523","chr2L",6320558,"-"
"524","chr2L",6327575,"+"
"525","chr2L",6349020,"-"
"526","chr2L",6373110,"-"
"527","chr2L",6373275,"-"
"528","chr2L",6393948,"-"
"529","chr2L",6435494,"-"
"530","chr2L",6447302,"-"
"531","chr2L",6481545,"+"
"532","chr2L",6498868,"+"
"533","chr2L",6506840,"-"
"534","chr2L",6509126,"+"
"535","chr2L",6509960,"-"
"536","chr2L",6522031,"+"
"537","chr2L",6529132,"-"
"538","chr2L",6567674,"-"
"539","chr2L",6572868,"+"
"540","chr2L",6616928,"+"
"541","chr2L",6636433,"+"
"542","chr2L",6637201,"+"
"543","chr2L",6651041,"+"
"544","chr2L",6674186,"+"
"545","chr2L",6678819,"+"
"546","chr2L",6729894,"-"
"547","chr2L",6795027,"-"
"548","chr2L",6797582,"-"
"549","chr2L",6805544,"-"
"550","chr2L",6818166,"-"
"551","chr2L",6825764,"+"
"552","chr2L",6829970,"-"
"553","chr2L",6833079,"-"
"554","chr2L",6871357,"-"
"555","chr2L",6879758,"+"
"556","chr2L",6895824,"+"
"557","chr2L",6896559,"-"
"558","chr2L",6930040,"+"
"559","chr2L",6943837,"-"
"560","chr2L",6960848,"+"
"561","chr2L",6978852,"+"
"562","chr2L",7023241,"+"
"563","chr2L",7035673,"+"
"564","chr2L",7039631,"-"
"565","chr2L",7052368,"-"
"566","chr2L",7071737,"+"
"567","chr2L",7075878,"-"
"568","chr2L",7084239,"-"
"569","chr2L",7085172,"-"
"570","chr2L",7101881,"+"
"571","chr2L",7101907,"-"
"572","chr2L",7111472,"-"
"573","chr2L",7122840,"-"
"574","chr2L",7127644,"-"
"575","chr2L",7141436,"-"
"576","chr2L",7164535,"+"
"577","chr2L",7165333,"+"
"578","chr2L",7174827,"-"
"579","chr2L",7181839,"+"
"580","chr2L",7213320,"-"
"581","chr2L",7234218,"+"
"582","chr2L",7237975,"-"
"583","chr2L",7279447,"+"
"584","chr2L",7280880,"-"
"585","chr2L",7295915,"+"
"586","chr2L",7299011,"-"
"587","chr2L",7307275,"-"
"588","chr2L",7332872,"+"
"589","chr2L",7339486,"-"
"590","chr2L",7346482,"+"
"591","chr2L",7347970,"+"
"592","chr2L",7348979,"-"
"593","chr2L",7354071,"-"
"594","chr2L",7413006,"+"
"595","chr2L",7413846,"+"
"596","chr2L",7441497,"-"
"597","chr2L",7450068,"-"
"598","chr2L",7450425,"+"
"599","chr2L",7452635,"+"
"600","chr2L",7470239,"+"
"601","chr2L",7474734,"+"
"602","chr2L",7479860,"+"
"603","chr2L",7485780,"-"
"604","chr2L",7504668,"+"
"605","chr2L",7512838,"-"
"606","chr2L",7513098,"+"
"607","chr2L",7517242,"-"
"608","chr2L",7518891,"-"
"609","chr2L",7524928,"+"
"610","chr2L",7533674,"+"
"611","chr2L",7535523,"+"
"612","chr2L",7538369,"-"
"613","chr2L",7543749,"+"
"614","chr2L",7556537,"-"
"615","chr2L",7556544,"-"
"616","chr2L",7556550,"-"
"617","chr2L",7562948,"-"
"618","chr2L",7565695,"+"
"619","chr2L",7574717,"+"
"620","chr2L",7588419,"-"
"621","chr2L",7595199,"+"
"622","chr2L",7598819,"-"
"623","chr2L",7599456,"+"
"624","chr2L",7611885,"+"
"625","chr2L",7625656,"+"
"626","chr2L",7640124,"+"
"627","chr2L",7645592,"+"
"628","chr2L",7652653,"+"
"629","chr2L",7655415,"+"
"630","chr2L",7660524,"-"
"631","chr2L",7674411,"-"
"632","chr2L",7675958,"+"
"633","chr2L",7676552,"-"
"634","chr2L",7688211,"-"
"635","chr2L",7696463,"-"
"636","chr2L",7713785,"+"
"637","chr2L",7719454,"+"
"638","chr2L",7722510,"+"
"639","chr2L",7726201,"+"
"640","chr2L",7730966,"+"
"641","chr2L",7810099,"-"
"642","chr2L",7811947,"-"
"643","chr2L",7812017,"-"
"644","chr2L",7817499,"-"
"645","chr2L",7817985,"-"
"646","chr2L",7819277,"+"
"647","chr2L",7841438,"-"
"648","chr2L",7855601,"-"
"649","chr2L",7860410,"+"
"650","chr2L",7862395,"-"
"651","chr2L",7870482,"+"
"652","chr2L",7872394,"+"
"653","chr2L",7897836,"+"
"654","chr2L",7908203,"+"
"655","chr2L",7920125,"-"
"656","chr2L",7923861,"-"
"657","chr2L",7932687,"+"
"658","chr2L",7949651,"+"
"659","chr2L",7963182,"+"
"660","chr2L",7970603,"+"
"661","chr2L",7976187,"-"
"662","chr2L",7985249,"-"
"663","chr2L",7991171,"-"
"664","chr2L",8013231,"-"
"665","chr2L",8019694,"+"
"666","chr2L",8047411,"-"
"667","chr2L",8063507,"-"
"668","chr2L",8093412,"-"
"669","chr2L",8099909,"-"
"670","chr2L",8119944,"+"
"671","chr2L",8127076,"+"
"672","chr2L",8148684,"-"
"673","chr2L",8161183,"+"
"674","chr2L",8190594,"+"
"675","chr2L",8205234,"-"
"676","chr2L",8240674,"-"
"677","chr2L",8241492,"-"
"678","chr2L",8242592,"+"
"679","chr2L",8242657,"+"
"680","chr2L",8251416,"+"
"681","chr2L",8252453,"+"
"682","chr2L",8282690,"+"
"683","chr2L",8284756,"-"
"684","chr2L",8284945,"-"
"685","chr2L",8293047,"+"
"686","chr2L",8294774,"-"
"687","chr2L",8311480,"-"
"688","chr2L",8336484,"+"
"689","chr2L",8350664,"+"
"690","chr2L",8357501,"+"
"691","chr2L",8413545,"-"
"692","chr2L",8420373,"+"
"693","chr2L",8426684,"+"
"694","chr2L",8428700,"-"
"695","chr2L",8455513,"-"
"696","chr2L",8457657,"+"
"697","chr2L",8467070,"+"
"698","chr2L",8475965,"-"
"699","chr2L",8547428,"-"
"700","chr2L",8550215,"-"
"701","chr2L",8558055,"+"
"702","chr2L",8566092,"-"
"703","chr2L",8586002,"-"
"704","chr2L",8600157,"-"
"705","chr2L",8603065,"+"
"706","chr2L",8604276,"-"
"707","chr2L",8605045,"+"
"708","chr2L",8608780,"+"
"709","chr2L",8611482,"+"
"710","chr2L",8625226,"+"
"711","chr2L",8697674,"+"
"712","chr2L",8701842,"+"
"713","chr2L",8705209,"-"
"714","chr2L",8716416,"+"
"715","chr2L",8754089,"+"
"716","chr2L",8756920,"+"
"717","chr2L",8762849,"-"
"718","chr2L",8787608,"-"
"719","chr2L",8811444,"+"
"720","chr2L",8822768,"+"
"721","chr2L",8828898,"+"
"722","chr2L",8846195,"-"
"723","chr2L",8853421,"-"
"724","chr2L",8858070,"-"
"725","chr2L",8861534,"-"
"726","chr2L",8884049,"-"
"727","chr2L",8888286,"-"
"728","chr2L",8905587,"-"
"729","chr2L",8909503,"-"
"730","chr2L",8952095,"-"
"731","chr2L",8976513,"-"
"732","chr2L",8977288,"+"
"733","chr2L",8997804,"+"
"734","chr2L",8999425,"-"
"735","chr2L",9008342,"-"
"736","chr2L",9026713,"-"
"737","chr2L",9062430,"+"
"738","chr2L",9067607,"-"
"739","chr2L",9105813,"-"
"740","chr2L",9108143,"+"
"741","chr2L",9120885,"-"
"742","chr2L",9124511,"+"
"743","chr2L",9153356,"-"
"744","chr2L",9164093,"+"
"745","chr2L",9169223,"+"
"746","chr2L",9190154,"+"
"747","chr2L",9191319,"+"
"748","chr2L",9191604,"-"
"749","chr2L",9197615,"-"
"750","chr2L",9198432,"+"
"751","chr2L",9220465,"-"
"752","chr2L",9220706,"-"
"753","chr2L",9223344,"-"
"754","chr2L",9231394,"-"
"755","chr2L",9265189,"-"
"756","chr2L",9265328,"+"
"757","chr2L",9300256,"+"
"758","chr2L",9302601,"-"
"759","chr2L",9325415,"-"
"760","chr2L",9331022,"-"
"761","chr2L",9331203,"+"
"762","chr2L",9349039,"-"
"763","chr2L",9359772,"-"
"764","chr2L",9362318,"-"
"765","chr2L",9393270,"-"
"766","chr2L",9396767,"-"
"767","chr2L",9420290,"+"
"768","chr2L",9425841,"-"
"769","chr2L",9463632,"-"
"770","chr2L",9464677,"-"
"771","chr2L",9472791,"-"
"772","chr2L",9504399,"+"
"773","chr2L",9504423,"-"
"774","chr2L",9532379,"+"
"775","chr2L",9548233,"+"
"776","chr2L",9556072,"-"
"777","chr2L",9569024,"-"
"778","chr2L",9591934,"+"
"779","chr2L",9600553,"+"
"780","chr2L",9617715,"+"
"781","chr2L",9629649,"+"
"782","chr2L",9636923,"-"
"783","chr2L",9647312,"+"
"784","chr2L",9651762,"+"
"785","chr2L",9654360,"-"
"786","chr2L",9660882,"+"
"787","chr2L",9664804,"+"
"788","chr2L",9676013,"+"
"789","chr2L",9678261,"-"
"790","chr2L",9686998,"+"
"791","chr2L",9693820,"+"
"792","chr2L",9721597,"+"
"793","chr2L",9721619,"+"
"794","chr2L",9721620,"+"
"795","chr2L",9724068,"-"
"796","chr2L",9742765,"+"
"797","chr2L",9756575,"+"
"798","chr2L",9756960,"+"
"799","chr2L",9763060,"+"
"800","chr2L",9800489,"+"
"801","chr2L",9817222,"-"
"802","chr2L",9821456,"+"
"803","chr2L",9822412,"-"
"804","chr2L",9832573,"-"
"805","chr2L",9843820,"-"
"806","chr2L",9858073,"-"
"807","chr2L",9886505,"+"
"808","chr2L",9894837,"+"
"809","chr2L",9917068,"-"
"810","chr2L",9917720,"-"
"811","chr2L",9926511,"-"
"812","chr2L",9948541,"+"
"813","chr2L",9969419,"+"
"814","chr2L",9971240,"+"
"815","chr2L",10000485,"-"
"816","chr2L",10001753,"+"
"817","chr2L",10061131,"-"
"818","chr2L",10061457,"+"
"819","chr2L",10061766,"+"
"820","chr2L",10092026,"-"
"821","chr2L",10096215,"-"
"822","chr2L",10099509,"+"
"823","chr2L",10130017,"-"
"824","chr2L",10146893,"+"
"825","chr2L",10150975,"-"
"826","chr2L",10177380,"-"
"827","chr2L",10184336,"-"
"828","chr2L",10185288,"-"
"829","chr2L",10195470,"+"
"830","chr2L",10206159,"-"
"831","chr2L",10222391,"+"
"832","chr2L",10223005,"+"
"833","chr2L",10234725,"+"
"834","chr2L",10254128,"+"
"835","chr2L",10256149,"-"
"836","chr2L",10269048,"+"
"837","chr2L",10278882,"-"
"838","chr2L",10303758,"+"
"839","chr2L",10308255,"-"
"840","chr2L",10320898,"+"
"841","chr2L",10321216,"-"
"842","chr2L",10363528,"+"
"843","chr2L",10364224,"-"
"844","chr2L",10414057,"+"
"845","chr2L",10431899,"+"
"846","chr2L",10440277,"+"
"847","chr2L",10443709,"+"
"848","chr2L",10449341,"-"
"849","chr2L",10463107,"+"
"850","chr2L",10476121,"+"
"851","chr2L",10542110,"-"
"852","chr2L",10549193,"-"
"853","chr2L",10555573,"-"
"854","chr2L",10569228,"-"
"855","chr2L",10589667,"+"
"856","chr2L",10608147,"+"
"857","chr2L",10618367,"-"
"858","chr2L",10629601,"-"
"859","chr2L",10638698,"-"
"860","chr2L",10641194,"+"
"861","chr2L",10642746,"-"
"862","chr2L",10652059,"+"
"863","chr2L",10659569,"-"
"864","chr2L",10660092,"+"
"865","chr2L",10668613,"+"
"866","chr2L",10686485,"+"
"867","chr2L",10693335,"-"
"868","chr2L",10760853,"+"
"869","chr2L",10760919,"+"
"870","chr2L",10763541,"+"
"871","chr2L",10764373,"+"
"872","chr2L",10772053,"-"
"873","chr2L",10772243,"+"
"874","chr2L",10792212,"+"
"875","chr2L",10798841,"-"
"876","chr2L",10807922,"+"
"877","chr2L",10810637,"-"
"878","chr2L",10815641,"+"
