chr,coordinate,strand,IPD_ratio,frac,fracLow,fracUp
Chr1,196548,-,3.17,0.998,0.926,1
Chr1,198032,-,1.67,0.895,0.874,0.917
Chr1,204860,-,2.89,0.986,0.978,1
Chr1,207676,+,3.83,0.998,0.947,1
Chr1,218895,+,2.49,1,1,1
Chr1,234043,-,2.29,1,0.796,1
Chr1,238709,-,6.58,1,0.918,1
Chr1,238838,-,4.04,0.984,0.706,1
Chr1,255925,-,2.44,0.576,0.397,0.677
Chr1,257738,-,1.88,0.401,0.269,0.53
Chr1,257997,+,3.26,1,0.841,1
Chr1,281147,-,2.68,0.996,0.789,1
Chr1,289005,-,4.2,1,1,1
Chr1,292150,-,4.89,0.976,0.76,1
Chr1,308164,+,1.75,0.617,0.531,0.712
Chr1,326941,+,6.75,1,0.87,1
Chr1,329532,+,2.28,0.988,0.981,0.997
Chr1,335454,-,2.09,0.992,0.991,0.995
Chr1,349568,-,5.53,1,0.851,1
Chr1,375599,-,3.63,1,0.94,1
Chr1,375823,+,2.74,1,0.713,1
Chr1,378742,+,3.17,1,0.764,1
Chr1,381710,-,2.29,0.995,0.995,0.999
Chr1,387933,+,3.88,0.94,0.739,1
Chr1,393584,-,3.45,1,0.738,1
Chr1,428033,+,2.09,0.995,0.758,1
Chr1,429407,+,1.64,0.642,0.446,0.721
Chr1,431343,-,2.38,0.664,0.579,0.745
Chr1,431355,+,1.72,0.502,0.358,0.636
Chr1,433215,-,3.7,1,0.819,1
Chr1,437659,+,3.54,0.927,0.705,1
Chr1,437794,+,3.38,0.996,0.893,1
Chr1,462346,-,5.68,1,0.985,1
Chr1,466091,+,1.79,0.948,0.939,0.957
Chr1,480076,-,2.68,0.998,0.708,1
Chr1,485611,+,2.75,0.997,0.877,1
Chr1,491187,-,1.68,0.279,0.139,0.424
Chr1,494890,+,4.17,0.998,0.998,0.999
Chr1,495475,-,3.86,0.939,0.742,1
Chr1,500121,-,4.5,1,0.907,1
Chr1,500155,-,1.59,0.216,0.071,0.346
Chr1,511716,+,1.41,0.737,0.587,0.776
Chr1,512980,+,4,1,0.939,1
Chr1,548460,+,2.66,0.917,0.728,1
Chr1,549029,-,2.68,1,0.793,1
Chr1,555196,-,3.8,0.928,0.704,1
Chr1,557531,-,3.13,0.996,0.911,1
Chr1,561390,-,3.73,0.987,0.725,1
Chr1,566380,+,2.03,0.789,0.614,0.862
Chr1,620841,+,4.34,0.955,0.763,1
Chr1,621429,-,3.22,0.999,0.735,1
Chr1,628521,-,5.87,1,0.878,1
Chr1,637471,+,5.98,1,1,1
Chr1,638597,-,3,0.998,0.794,1
Chr1,650096,+,3.78,1,0.816,1
Chr1,656206,+,4.13,0.999,0.921,1
Chr1,660106,+,2.14,0.978,0.948,1
Chr1,684248,-,1.95,0.613,0.447,0.744
Chr1,690547,+,3.36,1,0.754,1
Chr1,697312,-,9.29,1,0.947,1
Chr1,717762,-,4.12,0.965,0.958,0.981
Chr1,742909,+,2.57,1,1,1
Chr1,746706,+,1.62,0.597,0.442,0.703
Chr1,753933,-,1.54,0.229,0.115,0.395
Chr1,759133,+,4.23,1,1,1
Chr1,768331,+,2.57,1,0.732,1
Chr1,771005,+,4.47,1,0.911,1
Chr1,779560,-,3.43,1,1,1
Chr1,796958,+,3.64,1,0.964,1
Chr1,803239,-,4.04,0.977,0.748,1
Chr1,805711,+,2.99,0.99,0.939,0.998
Chr1,816587,-,1.59,0.782,0.648,0.858
Chr1,822253,-,2.68,0.934,0.791,1
Chr1,828146,+,2.79,1,0.782,1
Chr1,832701,-,1.69,0.875,0.757,0.904
Chr1,834569,+,3.07,0.991,0.805,0.996
Chr1,835736,+,5.89,1,0.823,1
Chr1,861625,+,4.02,0.972,0.959,0.984
Chr1,861633,+,4.56,0.896,0.739,1
Chr1,869676,-,3.78,0.994,0.79,1
Chr1,876724,-,3.01,1,0.867,1
Chr1,878938,+,3.18,1,0.854,1
Chr1,880879,-,3.41,1,1,1
Chr1,881419,-,3.69,0.987,0.73,1
Chr1,882585,+,3.66,1,0.906,1
Chr1,886448,+,2.01,0.644,0.582,0.731
Chr1,890986,+,3.93,1,0.786,1
Chr1,908961,-,2.7,0.921,0.808,1
Chr1,945574,-,1.72,0.588,0.488,0.72
Chr1,946399,+,2.62,0.995,0.984,1
Chr1,952693,+,3.82,1,0.953,1
Chr1,962796,-,1.65,0.772,0.711,0.826
Chr1,962817,-,6.11,1,0.86,1
Chr1,976727,+,1.7,0.346,0.182,0.463
Chr1,981012,-,2.45,0.973,0.806,0.994
Chr1,983221,+,1.52,0.562,0.451,0.684
Chr1,999679,+,3.73,0.932,0.715,1
Chr1,999782,+,3.93,0.93,0.705,1
Chr1,1007620,+,2.1,0.652,0.527,0.77
Chr1,1007683,+,5.16,0.995,0.86,0.997
Chr1,1034326,+,5.93,1,0.832,1
Chr1,1044754,+,4.68,1,0.776,1
Chr1,1047841,+,2.23,0.918,0.737,1
Chr1,1049499,+,8.54,1,0.879,1
Chr1,1067447,-,2.59,1,0.942,1
Chr1,1068749,+,5.19,1,0.986,1
Chr1,1069188,+,6.81,1,1,1
Chr1,1069618,-,2.86,0.992,0.794,1
Chr1,1069635,-,3.1,1,0.868,1
Chr1,1076567,-,3.08,0.999,0.755,1
Chr1,1091915,-,3.65,1,0.808,1
Chr1,1098862,-,5.04,1,1,1
Chr1,1109433,-,3.62,0.975,0.71,1
Chr1,1114883,-,4.38,1,0.825,1
Chr1,1115797,-,2.92,0.999,0.943,1
Chr1,1116987,-,2.81,0.992,0.924,0.996
Chr1,1118017,-,1.54,0.695,0.57,0.755
Chr1,1142093,-,3.01,1,0.867,1
Chr1,1149596,+,3.76,0.987,0.799,1
Chr1,1149949,-,5.51,0.978,0.75,0.997
Chr1,1149962,+,4.13,1,0.852,1
Chr1,1152446,+,4.92,1,0.839,1
Chr1,1158914,-,2.3,1,1,1
Chr1,1164480,+,4.91,0.984,0.715,1
Chr1,1174676,+,3.09,0.966,0.942,0.989
Chr1,1179698,+,1.67,0.953,0.713,1
Chr1,1181036,-,1.69,0.745,0.683,0.803
Chr1,1181261,-,3.28,0.931,0.736,1
Chr1,1181541,+,4.19,1,1,1
Chr1,1186772,+,3.03,1,0.798,1
Chr1,1187094,+,2.96,1,0.791,1
Chr1,1187095,-,2.15,0.697,0.617,0.779
Chr1,1192296,+,3.92,0.986,0.74,1
Chr1,1195818,+,3.18,1,1,1
Chr1,1204367,+,4.62,1,1,1
Chr1,1208007,+,5.06,1,0.813,1
Chr1,1209454,-,2.37,0.97,0.798,1
Chr1,1214085,+,5.64,0.938,0.705,1
Chr1,1227927,-,4.23,0.994,0.992,1
Chr1,1229582,+,7.07,1,0.874,1
Chr1,1259608,-,3.32,0.991,0.734,1
Chr1,1259745,+,1.55,0.419,0.356,0.505
Chr1,1270963,+,3.02,1,0.794,1
Chr1,1275249,+,4.34,0.981,0.709,1
Chr1,1329399,+,3.78,1,0.765,1
Chr1,1351580,+,4.02,0.989,0.82,0.998
Chr1,1352586,-,4.43,0.971,0.755,1
Chr1,1357319,+,2.7,1,0.796,1
Chr1,1365987,+,2.35,1,0.727,1
Chr1,1371205,+,4.76,1,0.894,1
Chr1,1379615,+,4.46,0.964,0.736,1
Chr1,1386337,+,2.87,1,0.719,1
Chr1,1388473,-,6.51,0.99,0.891,1
Chr1,1416919,+,3.76,1,0.811,1
Chr1,1466013,-,3.04,0.981,0.705,1
Chr1,1484802,-,1.61,0.632,0.528,0.75
Chr1,1499527,-,4.82,1,1,1
Chr1,1508212,-,3.92,0.956,0.738,1
Chr1,1532769,-,2.29,0.974,0.804,1
Chr1,1539635,-,1.88,0.371,0.202,0.491
Chr1,1544861,+,2.75,0.927,0.701,1
Chr1,1547294,+,1.69,0.734,0.625,0.801
Chr1,1547314,+,1.74,0.151,0,0.284
Chr1,1547376,+,1.79,0.937,0.921,0.951
Chr1,1566255,+,3.72,1,0.792,1
Chr1,1570444,-,3.35,1,1,1
Chr1,1577419,+,6.64,0.975,0.796,1
Chr1,1578848,+,5.19,1,0.857,1
Chr1,1581105,-,2.64,1,0.758,1
Chr1,1590157,-,3.58,1,0.785,1
Chr1,1598520,+,2.8,0.937,0.727,1
Chr1,1609377,-,4.26,1,0.788,1
Chr1,1613277,+,4.14,0.932,0.707,1
Chr1,1632169,+,2.85,1,0.768,1
Chr1,1643617,+,1.43,0.592,0.575,0.658
Chr1,1652968,-,1.74,0.62,0.53,0.716
Chr1,1668996,-,4.84,0.954,0.71,1
Chr1,1673241,+,1.9,0.573,0.47,0.687
Chr1,1685850,-,6.94,1,0.818,1
Chr1,1685914,+,4.98,1,0.856,1
Chr1,1686272,-,2.9,0.958,0.724,1
Chr1,1699541,-,1.7,0.685,0.611,0.775
Chr1,1718695,+,2.97,1,1,1
Chr1,1726726,-,3.61,1,0.777,1
Chr1,1754421,+,4.69,0.988,0.796,0.999
Chr1,1758563,-,4.24,1,1,1
Chr1,1759199,+,4.76,1,0.903,1
Chr1,1760520,-,2.69,0.973,0.706,1
Chr1,1781177,-,2.49,1,0.754,1
Chr1,1791231,-,6.06,1,0.954,1
Chr1,1793190,-,3.63,0.994,0.809,1
Chr1,1794064,-,3.23,1,0.986,1
Chr1,1795145,-,2.32,0.919,0.715,1
Chr1,1799870,-,1.67,0.414,0.279,0.567
Chr1,1803950,-,1.72,0.286,0.158,0.413
Chr1,1804315,-,2.04,0.475,0.345,0.622
Chr1,1805796,-,1.64,0.323,0.189,0.472
Chr1,1806687,-,2.03,0.438,0.306,0.59
Chr1,1807785,-,2.41,0.48,0.321,0.62
Chr1,1809140,-,2.18,0.928,0.713,1
Chr1,1810457,-,3.27,0.905,0.716,1
Chr1,1812875,+,3.15,1,0.886,1
Chr1,1814914,+,1.64,0.856,0.617,0.915
Chr1,1814947,+,1.86,0.241,0.091,0.354
Chr1,1815347,+,1.86,0.156,0.04,0.254
Chr1,1820163,+,1.55,0.495,0.395,0.615
Chr1,1820366,+,1.54,0.268,0.13,0.412
Chr1,1821075,+,1.87,0.28,0.15,0.448
Chr1,1821083,+,1.48,0.771,0.741,0.798
Chr1,1821107,+,1.69,0.174,0.032,0.259
Chr1,1821302,+,1.56,0.264,0.137,0.394
Chr1,1821943,+,1.75,0.288,0.167,0.426
Chr1,1829571,+,3.3,0.986,0.73,1
Chr1,1832696,+,2.28,1,0.706,1
Chr1,1833701,+,1.74,0.674,0.498,0.754
Chr1,1836735,+,3.35,0.994,0.763,0.999
Chr1,1843450,+,3.56,1,0.961,1
Chr1,1849040,+,1.47,0.015,0,0.204
Chr1,1866288,+,2.34,1,0.834,1
Chr1,1869689,-,4.16,0.975,0.778,1
Chr1,1876701,-,3.16,1,0.907,1
Chr1,1877096,-,1.56,0.841,0.814,0.875
Chr1,1892048,+,1.62,0.72,0.632,0.829
Chr1,1900335,-,2.06,0.917,0.713,1
Chr1,1908537,+,3.19,1,1,1
Chr1,1917190,+,4.27,1,0.927,1
Chr1,1948784,+,3.39,0.993,0.991,0.998
Chr1,1950700,+,2.78,1,0.771,1
Chr1,1953772,+,3.31,0.972,0.708,1
Chr1,1955768,+,5.35,1,0.816,1
Chr1,1957206,-,3.1,0.997,0.855,1
Chr1,1957844,+,3.19,1,0.739,1
Chr1,1958880,-,3.87,0.93,0.723,0.991
Chr1,1966475,-,2.94,0.994,0.814,1
Chr1,1976220,+,3.12,0.997,0.979,0.999
Chr1,1980886,+,6.87,1,0.911,1
Chr1,1981542,+,7.4,1,1,1
Chr1,1982047,+,5,0.988,0.985,0.993
Chr1,1983131,+,2.8,0.968,0.715,0.987
Chr1,1987766,+,7.91,0.979,0.956,0.989
Chr1,1988207,+,4.82,1,0.824,1
Chr1,1990367,+,3,1,0.735,1
Chr1,1990832,+,4.16,1,0.832,1
Chr1,1992905,+,3.15,1,1,1
Chr1,2019082,+,4.07,1,0.848,1
Chr1,2060469,-,2.18,1,1,1
Chr1,2068202,-,3.85,0.965,0.722,1
Chr1,2069509,+,3.1,0.996,0.967,0.999
Chr1,2073497,-,5.5,1,0.908,1
Chr1,2087396,-,2.54,1,0.849,1
Chr1,2088547,-,3.27,1,1,1
Chr1,2118299,-,9.14,1,1,1
Chr1,2122325,-,3.78,0.996,0.765,1
Chr1,2132660,+,2.38,1,1,1
Chr1,2157066,+,1.49,0.675,0.493,0.78
Chr1,2157237,+,6.44,1,0.788,1
Chr1,2157965,+,3.97,1,0.807,1
Chr1,2169616,-,4.59,1,1,1
Chr1,2174890,-,1.55,0.109,0,0.297
Chr1,2178556,-,4.4,1,0.903,1
Chr1,2180662,+,3.91,1,0.817,1
Chr1,2189404,-,4.58,0.994,0.841,1
Chr1,2190361,-,3.83,0.998,0.975,1
Chr1,2198162,+,2.98,1,0.727,1
Chr1,2210025,+,1.72,0.583,0.498,0.701
Chr1,2253806,-,2.27,1,1,1
Chr1,2258205,-,2.44,0.984,0.705,1
Chr1,2258548,-,5.67,1,0.945,1
Chr1,2270675,-,4.9,0.967,0.721,1
Chr1,2272566,+,6.93,1,0.933,1
Chr1,2273008,-,4.1,1,0.839,1
Chr1,2274091,-,2.85,1,0.81,1
Chr1,2277636,-,4.46,0.985,0.815,1
Chr1,2278017,-,2.54,1,1,1
Chr1,2278591,-,4.32,0.984,0.75,1
Chr1,2281437,-,2.59,1,0.801,1
Chr1,2307614,+,3.41,0.96,0.687,0.984
Chr1,2308010,+,8.55,0.994,0.994,0.996
Chr1,2342917,-,5.01,0.988,0.853,0.997
Chr1,2343673,-,4.82,0.975,0.783,0.993
Chr1,2360846,+,3.35,0.892,0.713,1
Chr1,2364284,+,1.78,0.878,0.85,0.907
Chr1,2383243,-,4.06,1,0.89,1
Chr1,2383782,+,1.53,0.683,0.473,0.755
Chr1,2416019,-,8.9,0.984,0.974,1
Chr1,2417973,-,4.09,1,0.77,1
Chr1,2418268,-,7.04,0.961,0.746,1
Chr1,2418606,-,2.88,1,1,1
Chr1,2442859,+,3.87,1,0.926,1
Chr1,2447805,-,5.8,1,0.834,1
Chr1,2456019,+,3.52,0.999,0.714,1
Chr1,2469870,+,5.74,0.981,0.921,0.988
Chr1,2479139,-,1.55,0.553,0.393,0.684
Chr1,2480592,-,2.48,1,1,1
Chr1,2481610,+,5.11,1,0.983,1
Chr1,2491552,-,2.76,0.991,0.711,1
Chr1,2491868,-,2.94,0.97,0.721,1
Chr1,2495580,-,4.08,0.969,0.749,1
Chr1,2496193,+,5.95,1,0.873,1
Chr1,2502728,-,1.7,0.392,0.27,0.527
Chr1,2503842,-,3.46,0.994,0.84,1
Chr1,2504376,-,4.51,1,0.8,1
Chr1,2509118,-,4.81,1,0.814,1
Chr1,2513753,-,3.4,0.948,0.706,1
Chr1,2534365,+,3.27,1,0.793,1
Chr1,2543625,+,3.93,1,0.927,1
Chr1,2543638,-,10.48,1,1,1
Chr1,2561189,-,1.6,0.448,0.32,0.578
Chr1,2564547,+,2.83,1,0.771,1
Chr1,2592593,-,2.48,0.97,0.71,1
Chr1,2595432,+,3.47,1,0.856,1
Chr1,2613711,+,1.59,0.163,0.04,0.334
Chr1,2617858,+,7.92,1,0.893,1
Chr1,2623114,-,2.8,1,0.902,1
Chr1,2626150,+,1.74,0.401,0.255,0.528
Chr1,2643504,+,2.72,1,0.723,1
Chr1,2644056,-,7.38,1,0.883,1
Chr1,2644875,+,6.39,1,1,1
Chr1,2644880,-,6.82,1,0.702,1
Chr1,2650746,+,3.46,1,0.701,1
Chr1,2653882,-,3.17,1,1,1
Chr1,2656328,-,3.48,0.989,0.797,1
Chr1,2670199,+,2.05,0.97,0.932,1
Chr1,2671283,+,2.92,0.992,0.984,1
Chr1,2700326,-,4.36,1,0.796,1
Chr1,2709759,+,2.69,1,0.702,1
Chr1,2729391,-,3.26,0.913,0.702,0.999
Chr1,2730027,+,3.52,0.971,0.709,1
Chr1,2731241,+,1.83,0.478,0.324,0.621
Chr1,2731351,+,2.54,0.999,0.995,1
Chr1,2758484,+,8.67,1,1,1
Chr1,2779812,-,5.05,1,0.937,1
Chr1,2803405,+,4.3,1,1,1
Chr1,2803874,+,3.15,1,0.838,1
Chr1,2803878,+,3.77,1,0.963,1
Chr1,2815464,+,3.27,0.986,0.711,1
Chr1,2816081,-,4.35,1,0.886,1
Chr1,2822406,-,3.72,0.986,0.812,1
Chr1,2822947,+,4.06,1,0.834,1
Chr1,2828277,-,4.56,1,0.871,1
Chr1,2834731,+,4.4,1,0.799,1
Chr1,2836778,-,6.22,0.945,0.736,1
Chr1,2848467,-,2.47,0.997,0.745,1
Chr1,2851807,-,2.16,0.994,0.758,1
Chr1,2860201,-,3.53,0.982,0.931,1
Chr1,2862030,-,3.73,1,1,1
Chr1,2862233,-,3.88,1,0.747,1
Chr1,2873309,+,4.06,1,0.926,1
Chr1,2880847,-,3.29,1,0.832,1
Chr1,2881383,+,2.69,0.94,0.711,1
Chr1,2903916,-,4.6,1,0.826,1
Chr1,2907232,-,5.01,0.958,0.761,1
Chr1,2907240,-,6.49,1,0.745,1
Chr1,2924929,-,4.27,1,0.771,1
Chr1,2925034,-,5.44,0.969,0.712,1
Chr1,2943606,-,2.81,0.998,0.998,1
Chr1,2948754,-,2.48,0.956,0.739,0.982
Chr1,2970436,+,5.85,0.996,0.99,1
Chr1,2970449,-,6.2,0.986,0.811,0.998
Chr1,2980881,+,3.68,0.953,0.716,1
Chr1,2981828,-,1.81,0.612,0.472,0.744
Chr1,2998410,-,3.63,0.971,0.738,1
Chr1,3006515,-,5.55,1,0.843,1
Chr1,3007852,+,6.4,1,0.924,1
Chr1,3019008,-,3.23,1,0.77,1
Chr1,3039445,-,1.79,0.603,0.486,0.704
Chr1,3040666,+,4.7,1,0.845,1
Chr1,3044462,+,3.83,0.983,0.778,1
Chr1,3055542,-,4.49,1,0.907,1
Chr1,3058389,+,4.67,1,0.724,1
Chr1,3061402,-,2.84,1,0.864,1
Chr1,3063584,+,2.78,1,0.864,1
Chr1,3104488,-,2.6,0.979,0.694,0.987
Chr1,3112920,+,2.88,1,0.851,1
Chr1,3126684,+,2.51,0.985,0.772,1
Chr1,3129143,+,4.95,0.929,0.754,1
Chr1,3138339,-,2.75,1,0.91,1
Chr1,3138423,-,2.73,1,0.727,1
Chr1,3162022,+,4.3,1,0.91,1
Chr1,3181631,+,2.9,0.913,0.741,0.958
Chr1,3182675,+,4.1,1,0.901,1
Chr1,3183153,+,1.7,0.711,0.65,0.778
Chr1,3211521,+,2.32,1,0.965,1
Chr1,3220345,-,4.04,0.994,0.83,1
Chr1,3221845,+,5.47,1,1,1
Chr1,3241609,+,1.74,1,1,1
Chr1,3242751,+,3.57,1,0.744,1
Chr1,3247002,+,1.93,1,1,1
Chr1,3256772,-,5.25,1,0.751,1
Chr1,3316459,+,4.27,1,0.95,1
Chr1,3319392,-,8.13,1,1,1
Chr1,3330001,-,10.71,1,0.925,1
Chr1,3330528,-,2.67,0.922,0.721,1
Chr1,3330995,-,5.08,1,0.778,1
Chr1,3332317,+,3.32,0.952,0.758,0.967
Chr1,3332771,-,8.51,1,0.898,1
Chr1,3333424,-,4.05,1,0.867,1
Chr1,3334996,-,3.15,0.947,0.87,0.976
Chr1,3335741,+,1.87,0.985,0.725,1
Chr1,3339310,+,3.19,0.966,0.716,1
Chr1,3344326,+,3.86,0.949,0.757,1
Chr1,3357122,+,2.66,0.968,0.71,1
Chr1,3357333,+,3.82,1,1,1
Chr1,3370023,+,1.41,0,0,0
Chr1,3374524,+,2.26,1,1,1
Chr1,3375180,+,2.57,1,0.879,1
Chr1,3379423,+,4.84,0.946,0.715,1
Chr1,3385965,+,4.48,0.936,0.711,1
Chr1,3401198,-,1.46,0.714,0.68,0.75
Chr1,3401200,+,1.47,0.709,0.662,0.754
Chr1,3402797,+,1.55,0.672,0.616,0.728
Chr1,3402917,-,1.42,0,0,0
Chr1,3409290,+,3.94,1,0.846,1
Chr1,3411164,+,3.16,0.999,0.97,1
Chr1,3415480,-,1.71,0.357,0.212,0.48
Chr1,3425923,-,2.45,1,0.774,1
Chr1,3426612,-,5.12,1,1,1
Chr1,3432111,-,1.81,0.512,0.367,0.658
Chr1,3432128,-,5.07,1,0.909,1
Chr1,3435613,-,3.05,0.985,0.717,1
Chr1,3435616,+,2.63,0.999,0.796,1
Chr1,3435736,-,1.78,0.809,0.652,0.881
Chr1,3439186,+,3.77,0.943,0.713,1
Chr1,3449862,+,2.2,0.512,0.426,0.601
Chr1,3455069,+,3.71,0.93,0.705,1
Chr1,3463025,-,3.04,1,1,1
Chr1,3464689,-,3.58,0.984,0.714,1
Chr1,3492370,+,4.49,1,0.783,1
Chr1,3504539,+,3.66,1,0.858,1
Chr1,3508336,+,2.66,1,0.734,1
Chr1,3529718,+,1.77,1,0.819,1
Chr1,3546982,-,1.94,0.767,0.687,0.837
Chr1,3547624,+,7.42,1,0.801,1
Chr1,3547718,-,10.99,1,1,1
Chr1,3547743,+,6.84,1,0.95,1
Chr1,3547744,-,3.39,0.9,0.698,0.996
Chr1,3560782,+,2.83,0.969,0.711,1
Chr1,3563061,+,1.76,0.352,0.248,0.481
Chr1,3568716,+,1.61,0.8,0.782,0.836
Chr1,3569110,-,3.53,1,1,1
Chr1,3581780,+,5.05,1,0.96,1
Chr1,3582058,-,3.03,1,0.984,1
Chr1,3584353,+,3.43,1,0.772,1
Chr1,3591246,+,3.95,1,0.849,1
Chr1,3617001,-,2.84,0.979,0.828,1
Chr1,3625341,-,2.83,0.99,0.873,1
Chr1,3626631,+,2.22,0.623,0.493,0.768
Chr1,3630063,+,3.28,1,1,1
Chr1,3639515,-,3.71,1,0.831,1
Chr1,3641030,-,5.09,1,0.87,1
Chr1,3643103,+,3.47,0.994,0.991,0.999
Chr1,3647940,+,7.88,1,0.929,1
Chr1,3652410,-,3.02,1,0.81,1
Chr1,3653817,+,4.05,1,0.803,1
Chr1,3660899,-,3.4,0.934,0.713,1
Chr1,3662718,-,3.91,0.963,0.741,1
Chr1,3666216,+,1.55,0.828,0.605,0.87
Chr1,3687748,-,8.19,1,0.998,1
Chr1,3692970,-,2.88,1,0.961,1
Chr1,3736394,-,3.98,1,0.818,1
Chr1,3738946,-,5.05,1,1,1
Chr1,3759697,+,4.04,1,1,1
Chr1,3761431,+,2.61,1,0.94,1
Chr1,3782021,+,4.28,0.949,0.752,0.999
Chr1,3784749,-,2.43,0.995,0.744,1
Chr1,3784753,+,4.14,1,0.831,1
Chr1,3784810,+,2.35,0.981,0.807,1
Chr1,3784950,+,4.51,1,0.788,1
Chr1,3795262,+,4.01,1,0.961,1
Chr1,3795285,+,7.1,1,0.849,1
Chr1,3798642,+,2.5,1,0.789,1
Chr1,3839311,+,7.06,0.997,0.858,1
Chr1,3839600,-,2.99,0.99,0.797,0.998
Chr1,3843193,-,4.58,1,0.877,1
Chr1,3845131,-,3.68,0.957,0.725,1
Chr1,3855987,+,4.28,1,1,1
Chr1,3856989,+,3.38,1,1,1
Chr1,3857400,+,4.65,0.893,0.723,1
Chr1,3858133,-,1.5,0.76,0.739,0.813
Chr1,3877871,+,3.06,1,1,1
Chr1,3892965,-,4.4,1,0.807,1
Chr1,3894222,+,4.1,0.983,0.978,0.997
Chr1,3898409,-,3.48,0.957,0.742,1
Chr1,3899679,-,4.46,1,0.949,1
Chr1,3916063,+,3.18,1,0.77,1
Chr1,3919012,-,1.45,0.061,0,0.21
Chr1,3919118,-,3.7,1,0.807,1
Chr1,3921118,+,3.53,1,0.845,1
Chr1,3921372,-,3.45,1,0.997,1
Chr1,3921394,-,1.68,0.372,0.231,0.503
Chr1,3922566,+,2.05,1,0.985,1
Chr1,3923374,+,3.96,0.972,0.734,1
Chr1,3928084,+,1.97,1,0.769,1
Chr1,3930526,+,2.39,1,0.75,1
Chr1,3940325,-,3.68,0.983,0.76,1
Chr1,3941866,+,1.64,0.37,0.276,0.534
Chr1,3955704,+,1.98,1,0.785,1
Chr1,3956241,-,4.45,0.967,0.765,1
Chr1,3975304,-,5.95,1,0.838,1
Chr1,3977728,-,1.92,0.739,0.573,0.816
Chr1,3980411,+,8.77,1,0.86,1
Chr1,3983576,+,4.33,0.973,0.843,1
Chr1,3991289,+,4.62,1,0.874,1
Chr1,4002181,+,3.38,0.992,0.845,0.998
Chr1,4006181,+,3.2,0.929,0.708,1
Chr1,4006189,+,4.66,0.993,0.902,1
Chr1,4009478,+,1.64,0.304,0.182,0.449
Chr1,4010261,+,1.79,0.773,0.573,0.817
Chr1,4015301,-,3.09,0.995,0.804,1
Chr1,4015305,-,3.14,0.917,0.705,1
Chr1,4022147,+,3.56,1,0.861,1
Chr1,4032292,+,1.76,0.766,0.727,0.8
Chr1,4078275,-,4.4,0.89,0.714,1
Chr1,4083282,-,2.12,0.998,0.815,1
Chr1,4092147,+,2.7,0.987,0.729,1
Chr1,4094356,-,1.75,0.606,0.499,0.701
Chr1,4094359,+,4.13,0.976,0.734,1
Chr1,4099017,+,2.79,1,0.962,1
Chr1,4121938,-,2.64,1,0.789,1
Chr1,4125062,-,3.85,0.977,0.743,1
Chr1,4158131,+,3.21,1,0.716,1
Chr1,4164188,+,4.77,1,0.981,1
Chr1,4179880,+,3.96,0.99,0.984,1
Chr1,4180502,-,2.37,1,1,1
Chr1,4184823,-,3.73,1,0.816,1
Chr1,4185027,-,3.02,0.994,0.845,1
Chr1,4191523,-,5.39,1,0.961,1
Chr1,4196992,-,3.48,0.964,0.717,1
Chr1,4211041,+,3.49,1,0.731,1
Chr1,4235630,+,2.34,1,0.744,1
Chr1,4236738,-,1.8,0.626,0.531,0.799
